Date,EndOfMonth,AveOfMonth
1999/08,0.03,0.03
1999/09,0.05,0.03
1999/10,0.02,0.02
1999/11,0.02,0.03
1999/12,0.05,0.02
2000/01,0.02,0.02
2000/02,0.05,0.03
2000/03,0.04,0.02
2000/04,0.02,0.02
2000/05,0.03,0.02
2000/06,0.03,0.02
2000/07,0.02,0.02
2000/08,0.25,0.16
2000/09,0.28,0.25
2000/10,0.25,0.25
2000/11,0.26,0.25
2000/12,0.2,0.24
2001/01,0.25,0.25
2001/02,0.26,0.25
2001/03,0.12,0.11
2001/04,0.02,0.02
2001/05,0.03,0.02
2001/06,0.06,0.02
2001/07,0.02,0.01
2001/08,0.01,0.01
2001/09,0.003,0.005
2001/10,0.003,0.003
2001/11,0.003,0.002
2001/12,0.002,0.002
2002/01,0.001,0.001
2002/02,0.001,0.001
2002/03,0.012,0.002
2002/04,0.002,0.001
2002/05,0.002,0.001
2002/06,0.002,0.001
2002/07,0.001,0.002
2002/08,0.002,0.002
2002/09,0.067,0.005
2002/10,0.002,0.002
2002/11,0.002,0.002
2002/12,0.002,0.002
2003/01,0.001,0.002
2003/02,0.001,0.001
2003/03,0.021,0.002
2003/04,0.002,0.001
2003/05,0.002,0.001
2003/06,0.001,0.001
2003/07,0.002,0.002
2003/08,0.001,0.001
2003/09,0.013,0.002
2003/10,0.002,0.001
2003/11,0.001,0.001
2003/12,0.001,0.001
2004/01,0.001,0
2004/02,0.001,0.001
2004/03,0.005,0.001
2004/04,0.001,0
2004/05,0.002,0.001
2004/06,0.002,0.001
2004/07,0.001,0
2004/08,0.001,0.001
2004/09,0.005,0.001
2004/10,0.002,0.001
2004/11,0.001,0.001
2004/12,0.002,0.001
2005/01,0.001,0.001
2005/02,0.001,0.001
2005/03,0.022,0.002
2005/04,0.001,0.001
2005/05,0.002,0.001
2005/06,0.001,0.001
2005/07,0.001,0.001
2005/08,0.001,0.001
2005/09,0.004,0.001
2005/10,0,0.001
2005/11,0.001,0.001
2005/12,0.004,0.001
2006/01,0.001,0.001
2006/02,0.002,0.001
2006/03,0.004,0.002
2006/04,0.006,0.002
2006/05,0.021,0.02
2006/06,0.027,0.036
2006/07,0.267,0.155
2006/08,0.266,0.25
2006/09,0.339,0.261
2006/10,0.256,0.254
2006/11,0.271,0.257
2006/12,0.275,0.255
2007/01,0.282,0.267
2007/02,0.589,0.357
2007/03,0.715,0.509
2007/04,0.539,0.511
2007/05,0.544,0.521
2007/06,0.605,0.51
2007/07,0.516,0.499
2007/08,0.498,0.485
2007/09,0.675,0.51
2007/10,0.524,0.506
2007/11,0.52,0.5
2007/12,0.459,0.497
2008/01,0.508,0.502
2008/02,0.512,0.504
2008/03,0.641,0.511
2008/04,0.522,0.506
2008/05,0.527,0.505
2008/06,0.572,0.509
2008/07,0.519,0.503
2008/08,0.516,0.504
2008/09,0.544,0.495
2008/10,0.384,0.487
2008/11,0.318,0.301
2008/12,0.103,0.211
2009/01,0.128,0.12
2009/02,0.109,0.111
2009/03,0.088,0.1
2009/04,0.113,0.104
2009/05,0.099,0.102
2009/06,0.11,0.104
2009/07,0.105,0.102
2009/08,0.11,0.106
2009/09,0.103,0.102
2009/10,0.112,0.106
2009/11,0.113,0.105
2009/12,0.094,0.101
2010/01,0.095,0.096
2010/02,0.097,0.101
2010/03,0.082,0.097
2010/04,0.096,0.093
2010/05,0.089,0.091
2010/06,0.096,0.095
2010/07,0.098,0.094
2010/08,0.095,0.095
2010/09,0.113,0.091
2010/10,0.093,0.091
2010/11,0.09,0.091
2010/12,0.079,0.087
2011/01,0.087,0.085
2011/02,0.091,0.093
2011/03,0.062,0.085
2011/04,0.064,0.062
2011/05,0.067,0.069
2011/06,0.067,0.069
2011/07,0.078,0.073
2011/08,0.075,0.081
2011/09,0.075,0.08
2011/10,0.081,0.081
2011/11,0.081,0.077
2011/12,0.075,0.078
2012/01,0.075,0.08
2012/02,0.081,0.085
2012/03,0.076,0.084
2012/04,0.08,0.075
2012/05,0.095,0.084
2012/06,0.076,0.076
2012/07,0.09,0.084
2012/08,0.093,0.086
2012/09,0.078,0.085
2012/10,0.089,0.085
2012/11,0.091,0.086
2012/12,0.076,0.082
2013/01,0.082,0.083
2013/02,0.083,0.087
2013/03,0.058,0.078
2013/04,0.071,0.072
2013/05,0.073,0.073
2013/06,0.07,0.074
2013/07,0.073,0.073
2013/08,0.072,0.073
2013/09,0.062,0.072
2013/10,0.072,0.07
2013/11,0.071,0.073
2013/12,0.068,0.074
2014/01,0.071,0.073
2014/02,0.072,0.077
2014/03,0.044,0.072
2014/04,0.065,0.065
2014/05,0.069,0.068
2014/06,0.058,0.067
2014/07,0.065,0.066
2014/08,0.07,0.069
2014/09,0.029,0.066
2014/10,0.06,0.059
2014/11,0.067,0.065
2014/12,0.066,0.068
2015/01,0.071,0.074
2015/02,0.074,0.076
2015/03,0.015,0.07
2015/04,0.063,0.061
2015/05,0.073,0.069
2015/06,0.011,0.072
2015/07,0.064,0.074
2015/08,0.071,0.076
2015/09,0.01,0.073
2015/10,0.074,0.076
2015/11,0.076,0.078
2015/12,0.038,0.075
2016/01,0.066,0.074
2016/02,-0.001,0.033
2016/03,-0.002,-0.003
2016/04,-0.056,-0.037
2016/05,-0.054,-0.059
2016/06,-0.064,-0.055
2016/07,-0.046,-0.043
2016/08,-0.048,-0.043
2016/09,-0.06,-0.052
2016/10,-0.047,-0.037
2016/11,-0.054,-0.049
2016/12,-0.058,-0.044
2017/01,-0.058,-0.045
2017/02,-0.048,-0.038
2017/03,-0.06,-0.042
2017/04,-0.074,-0.054
2017/05,-0.065,-0.053
2017/06,-0.069,-0.056
2017/07,-0.064,-0.054
2017/08,-0.066,-0.049
2017/09,-0.063,-0.058
2017/10,-0.046,-0.037
2017/11,-0.055,-0.048
2017/12,-0.062,-0.042
2018/01,-0.05,-0.04
2018/02,-0.053,-0.042
2018/03,-0.068,-0.062
2018/04,-0.067,-0.063
2018/05,-0.065,-0.061
2018/06,-0.069,-0.071
2018/07,-0.065,-0.07
2018/08,-0.055,-0.059
2018/09,-0.064,-0.059
2018/10,-0.068,-0.06
2018/11,-0.062,-0.07
2018/12,-0.055,-0.068
2019/01,-0.06,-0.064
2019/02,-0.054,-0.055
2019/03,-0.06,-0.044
2019/04,-0.073,-0.068
2019/05,-0.059,-0.05
2019/06,-0.076,-0.063
2019/07,-0.071,-0.071
2019/08,-0.061,-0.046
2019/09,-0.064,-0.059
2019/10,-0.03,-0.022
2019/11,-0.034,-0.043
2019/12,-0.068,-0.038
2020/01,-0.039,-0.032
2020/02,-0.025,-0.016
2020/03,-0.07,-0.047
2020/04,-0.06,-0.036
2020/05,-0.073,-0.047
2020/06,-0.068,-0.048
2020/07,-0.021,-0.028
2020/08,-0.057,-0.035
2020/09,-0.061,-0.054
2020/10,-0.029,-0.02
